namespace,extension,version,asset
MS-CEINTL,vscode-language-pack-ru,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-pt-BR,1.93.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-pt-BR,1.93.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-pt-BR,1.93.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.93.0,/extension/translations/extensions/vscode.html-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.93.0,/extension/translations/extensions/vscode.html-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.93.0,/extension/translations/extensions/vscode.html-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.93.0,/extension/translations/extensions/vscode.typescript-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.93.0,/extension/translations/extensions/vscode.typescript-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.93.0,/extension/translations/extensions/vscode.typescript-language-features.i18n.json
Venage5603,tokyo-night-dark-enhanced,1.12.0,/extension/package.json
Venage5603,tokyo-night-dark-enhanced,1.12.0,/extension/package.json
Venage5603,tokyo-night-dark-enhanced,1.12.0,/extension/package.json
EIGFA,mathab-theme,0.1.9,/extension/package.json
EIGFA,mathab-theme,0.1.9,/extension/package.json
EIGFA,mathab-theme,0.1.9,/extension/package.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.tunnel-forwarding.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.tunnel-forwarding.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.tunnel-forwarding.i18n.json
danielgjackson,auto-dark-mode-windows,1.0.11,/extension/package.json
danielgjackson,auto-dark-mode-windows,1.0.11,/extension/package.json
danielgjackson,auto-dark-mode-windows,1.0.11,/extension/package.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
